,y,Ntrials,transect,wl,log_ntot
1,0,20,HM.A,0.188507966,1.205340475
2,12,20,HM.A,-0.042375493,0.403583409
3,13,20,HM.A,-0.24918938,0.551040005
4,19,20,HM.A,-0.658121934,-0.042080082
5,0,20,HM.A,-1.333463917,1.457137241
6,2,20,HM.B,0.148575966,0.90926675
7,12,20,HM.B,-0.048109059,-1.174174717
8,14,20,HM.B,-0.233208522,1.108721203
9,5,20,HM.B,-0.622649281,-0.75592345
10,1,20,HM.B,-1.381991263,1.797495373
11,0,20,HM.C,0.199562966,1.930613869
12,14,20,HM.C,0.041679507,0.478996735
13,13,20,HM.C,-0.276152714,0.334201009
14,16,20,HM.C,-0.79903331,0.64359607
15,11,20,HM.C,-1.508375292,1.885648838
16,0,20,HR.A,0.098538127,-1.093191519
17,6,20,HR.A,0.03250113,-0.496790566
18,9,20,HR.A,-0.10349887,0.122993015
19,13,20,HR.A,-0.309178262,-0.994879548
20,4,20,HR.A,-0.455468064,-1.190470035
21,0,20,HR.B,0.063746887,-1.460558733
22,18,20,HR.B,0.011334463,-1.473020653
23,15,20,HR.B,-0.128665537,-1.278713736
24,15,20,HR.B,-0.329511595,-0.430372773
25,0,20,HR.B,-0.540801397,-0.238982063
26,0,20,KA.A,0.349214746,1.838309288
27,0,20,KA.A,0.155595273,1.120030781
28,11,20,KA.A,0.040998262,-0.763397336
29,1,20,KA.A,-0.146518171,-2.671557369
30,1,20,KA.A,-0.698828685,-1.269987027
31,0,20,KA.B,0.270385891,2.217433819
32,2,20,KA.B,0.03520226,1.525562457
33,8,20,KA.B,-0.054294834,-0.496942162
34,15,20,KA.B,-0.145025139,-1.09917116
35,5,20,KA.B,-0.697998108,-1.636886378
36,0,20,KA.C,0.30750777,2.978789304
37,8,20,KA.C,0.169318924,3.114822039
38,2,20,KA.C,-0.031056167,2.671208114
39,12,20,KA.C,-0.117843729,-3.364704549
40,3,20,KA.C,-0.588677743,-0.145291199
41,0,20,HM.A,0.248534802,1.205340475
42,6,20,HM.A,0.022887222,0.403583409
43,15,20,HM.A,-0.179163077,0.551040005
44,8,20,HM.A,-0.592529834,-0.042080082
45,4,20,HM.A,-1.275146044,1.457137241
46,0,20,HM.B,0.208602802,0.90926675
47,6,20,HM.B,0.017153657,-1.174174717
48,10,20,HM.B,-0.163182219,1.108721203
49,6,20,HM.B,-0.55705718,-0.75592345
50,0,20,HM.B,-1.32367339,1.797495373
51,1,20,HM.C,0.259589802,1.930613869
52,6,20,HM.C,0.106942222,0.478996735
53,7,20,HM.C,-0.20612641,0.334201009
54,10,20,HM.C,-0.733441209,0.64359607
55,0,20,HM.C,-1.450057419,1.885648838
56,0,20,HR.A,0.147519969,-1.093191519
57,1,20,HR.A,0.073278424,-0.496790566
58,14,20,HR.A,-0.062721576,0.122993015
59,7,20,HR.A,-0.264067847,-0.994879548
60,0,20,HR.B,0.113640951,-1.460558733
61,6,20,HR.B,0.052111757,-1.473020653
62,3,20,HR.B,-0.087888243,-1.278713736
63,6,20,HR.B,-0.28440118,-0.430372773
64,3,20,HR.B,-0.491376502,-0.238982063
65,0,20,HR.C,0.089440665,-0.398362372
66,7,20,HR.C,0.053778424,-1.490103139
67,14,20,HR.C,-0.110721576,-0.863264159
68,3,20,HR.C,-0.360734513,-0.372079655
69,0,20,HR.C,-0.494709835,0.61538626
70,8,20,KA.A,0.359550674,1.838309288
71,0,20,KA.A,0.164230741,1.120030781
72,1,20,KA.A,0.043311603,-0.763397336
73,3,20,KA.A,-0.14206358,-2.671557369
74,0,20,KA.A,-0.692350655,-1.269987027
75,0,20,KA.B,0.280721819,2.217433819
76,8,20,KA.B,0.037103279,1.525562457
77,14,20,KA.B,-0.060128335,-0.496942162
78,5,20,KA.B,-0.142133606,-1.09917116
79,3,20,KA.B,-0.692170988,-1.636886378
80,1,20,KA.C,0.317843698,2.978789304
81,3,20,KA.C,0.181992306,3.114822039
82,0,20,KA.C,-0.023484173,2.671208114
83,15,20,KA.C,-0.110956288,-3.364704549
84,1,20,KA.C,-0.582428391,-0.145291199
